Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo1fzpej8tyu5g02kpx3usqc4s7q29t42nvt6kefm,0.04,337.859154
osmo12zzxfkxz4mmgsah8rxehw666kt2gfj7fnre2us,0.04,337.859154
osmo1hfsk6lsa90skglnl0rahwd40vecdr3aunsv7mh,0.04,337.859154
osmo1ch0de08kpemkm9d4xmfapampq9kfffua984033,0.04,337.859154
osmo14s6q6uvmjcskt3mm5dz5jkyc6pz9y5jadr4d55,0.04,337.859154
osmo1vwvles6d7z2e6kmlulktmypqp8jjn7sg5seaw3,0.04,337.859154
osmo1t8clt3lf5n9awdv8m3g4fv7nnczqp6hsakand6,0.04,337.859154
osmo1c0d7vdxapwdk8w5uz7qdw7x7eu4mmdwy07yqc7,0.04,337.859154
osmo1s4mt2a2qxgzlgedcx4sm2nrcazt20td0h3jrg7,0.04,337.859154
osmo1mcht7s0rksfhma9hd3xegw7xgju92e98vr3e4m,0.04,337.859154
osmo13vflc0nm2d06zv7ljyelhmev5t5vn54cjcaw02,0.04,337.859154
osmo1gy59ekywem4qq5a24lmkqytqk724yn925fkzwy,0.04,337.859154
osmo1rclcwvu6fhzgxvde92vr5jpf4gdgtmd9aay46k,0.04,337.859154
osmo1gemekeu337rg38l964drz8ncllg363p9qtege7,0.04,337.859154
osmo14qpyf70vm30tf0gwweennej8lsmell2w3y9tj6,0.04,337.859154
osmo1gtpvmlk704wu43h9v8gh87e2wgnjyc2f2gwcl5,0.04,337.859154
osmo1pehs6wzz67ss4etk25vhxg2yfvkx2jsjz657mq,0.04,337.859154
osmo17u9m4p9ch692mhccv3llq4mg5fhq7llvztsdlp,0.04,337.859154
osmo1e8nulayrxw3m7pasnx809sjmsc9xxlkp2qujdn,0.04,337.859154
osmo1fnnpt069wks84d2afhvj8l6xk2jemzzarmz8kk,0.04,337.859154
osmo1hcpveu2v0y5ennuvmljvrj9umfurzgy730xwty,0.04,337.859154
osmo14p72hcd0rmmd4judjfvkzn8ee0aznevvadecje,0.04,337.859154
osmo1js32wa60rtldty4d4vwusuc98weclsy46t32hy,0.04,337.859154
osmo13npfp6l5wuqst5n29gljzwsztck2u2yp2gx4e7,0.04,337.859154
osmo1a09v7vpca9u2uduhvv4u00msmnzsh8qe3ccdkw,0.04,337.859154
osmo1408luectm6tlh2dme4tamwr023pu93c7cmppq5,0.04,337.859154
osmo1q8tsp0jc2pjksdpp96q5t2la2a4djev2u5jkre,0.04,337.859154
osmo1fmmm23qktlv3dee8zvawlus3skh6yp7j83n5xu,0.04,337.859154
osmo1czyr5t30q398n5dgn07d23lvmefhg3trk42wyx,0.04,337.859154
osmo13lh5t8659dxcth62l9wf82kzpnx2p083xenuun,0.04,337.859154
osmo17kz6z048p63asyve7wgzt4auqv7l5vykdnd47q,0.04,337.859154
osmo1yjmeqn8ejucxnh8rk9308smjj9e3sqrca07ums,0.04,337.859154
osmo1el8wyx0ka46nu00k69m46p86gagxrtkgxchgm0,0.04,337.859154
osmo1dptnjjd0tzcrp2q0gx30lf9jzq6j8r2eudte4f,0.04,337.859154
osmo19eslc5x5pawk6nts97zsa8mptal4t5sk8yjr2t,0.04,337.859154
osmo1urk4ycm649mpe87rgcj96jrzggfa0a770xvkkf,0.04,337.859154
osmo1vpvdtmtl3wa2czqj7clz484yjhdvwh3rcy37f3,0.04,337.859154
osmo1dfah5cqxxfj3y88elaqhu569lsv0w487yvepkt,0.04,337.859154
osmo1u8ksgt27td29yu0gmtr8aaltwx52x2y37zgaa5,0.04,337.859154
osmo1t0lwp8h3ardsn550fwgpq4mkq5u8nmlzmw9qde,0.04,337.859154
osmo1qpfhgrvyqdcqxjyvst4gqggwv8gykflhm4dl2q,0.04,337.859154
osmo10r39fueph9fq7a6lgswu4zdsg8t3gxlqyhl56p,0.01,84.464789
osmo1zmddu40sser52dpekstx79py9nsayfv8fedqjm,0.01,84.464789
osmo1pf42l5ddetwykgw9p6k4nv50gyemn9lngt6jcs,0.005871,49.589277
osmo1r6ddsqav6km8dwpgjk8lskaptupsxj73qc7crq,0.000218,1.841332
osmo1f6p5pdgmvu668auq9sv8uh226zwat03vzf89j9,0.000001,0.008446
osmo1a6h25e3eg9crmwnnudekjvx5nxus3qw0uh9y76,0.000001,0.008446
osmo1vrwnsphes742tttz6fc065t3mk2slf0a30g9sk,0.000001,0.008446
osmo1nvfqdrnemptjeywcdphwx4744l6cmrcyha0x75,0.000001,0.008446
osmo1jx5pynvl7pdgcfejcn68fp9rm6hyqtamtmcj5a,0.000001,0.008446
osmo1xts6fzfgh5n0csmazhc408xpecx4a0cd8g9eex,0.000001,0.008446
osmo1a0dyvs4cq7fj8v4nt78a5ts4xx5qqx86j5kh05,0.000001,0.008446
osmo1k8ydx9axp5h709xknwscg3r9g7fj8y8q8pgl8s,0.000001,0.008446
osmo1sg2q6drzy4c90qkxaa53wrhv9ulacmeg8gw9km,0.000001,0.008446
osmo17e33h7xcepdllqnyvsslsl48wm8vv790xv85n3,0.000001,0.008446
osmo1wyjcru3hs9x5leyu39rnwjwgl52w79c4ltqc72,0.000001,0.008446
osmo17738c8nm2c7gqkhc9vpalxg6gujhq3pgmtm6wd,0.000001,0.008446
osmo1nnfyukrcq9g7mfl5u98gwcj9a8mzwhnvmk59gn,0.000001,0.008446
osmo1rp0gkml4ceprsqdaz6kh8kftu3hfk82n65q47w,0.000001,0.008446
osmo1cy0kz4fmxv40uchjx8m7rvmj3cjlpw95lpk4ca,0.000001,0.008446
osmo12qpqds5wu4a5ktsjhq0r7ljz6cfxx7fnhxvpx7,0.000001,0.008446
osmo136y2cygcmvx53k9kc849mxjwexujla6lamnvyc,0.000001,0.008446
osmo1vr00wl6xgaflamsyrgnwaccdz8scjwt2ze02tg,0.000001,0.008446
osmo1fn0ey3k83ksjjtwa3hw9a7wpdr0dv9uxkr0j7m,0.000001,0.008446
osmo1lvmvgsdpqtlwmtw0zts78km4sj6ef0jg8hepnz,0.000001,0.008446
osmo1d7q0wekhu8pf5xpr2nwtjthzvqmtrzfvweftmm,0.000001,0.008446
osmo105uvxsgjjlar9shmyc42hyswm32x448cgzjfu7,0.000001,0.008446
osmo1n608j50uu2s35et8pdfhzxsmuuzsexdn2qjg7n,0.000001,0.008446
osmo1qskm9jwgkvrd9spqg20hgg9vwram8wfycpld6c,0.000001,0.008446
osmo15c824fdfc6ahf2x2x2qg63t34f5trc6e4hljgw,0.000001,0.008446
osmo1lumtkw7l8fau7jaaqupdad0qaku5d9xfx9ruu6,0.000001,0.008446
osmo10unc3wkjalz4qgpyxnvcqr02w7huh7hfmjyur6,0.000001,0.008446
osmo109n2hmvkal9s4x54lpwqk99w04a0fzzzqxeeg0,0.000001,0.008446
osmo144r5wvklgtal4r90c9p22d4jkk5un3kgy52wgc,0.000001,0.008446
osmo163l0klpvu46s4cacytrtz5mhz47a9fs0nz744w,0.000001,0.008446
osmo1y6jq4xq3msumxatxhvsqhazjd90spx7vdp8xdj,0.000001,0.008446
osmo1xyl089kl8xhhj2wecy2c6lj9e0tswrpaljte9u,0.000001,0.008446
osmo1rm79wkeh0gak6rkkwdy809fhh8ku8y9pdd49zu,0.000001,0.008446
osmo12ttcfjd3x3zxkuehe2x2rawz7zt6as76juqd7a,0.000001,0.008446
osmo1dlurlvlzc9g2h5dmlvx7c5sv2elhd2qk7q66kf,0.000001,0.008446
osmo1y7zwqfssh84dxz2aw7rcct73uy92rq93yk0nj8,0.000001,0.008446
osmo1h4utxsln0jy4y983j8m08sesq4qmpj9k8pqvsd,0.000001,0.008446
osmo1wknxzlnk5rp2u5yzdejw507cpxa4wahvuaddeg,0.000001,0.008446
osmo1ukugew37vd6r6cx2e9gav0cug4ccj9yvrmrqlw,0.000001,0.008446
osmo1z4st656d9uruxw2pygkrvwsuacks5j4enqv5wq,0.000001,0.008446
osmo1axuv00gydefjgezmewqy9892rju645k9a2chhw,0.000001,0.008446
osmo1zjmjqayjj09lqzqrrl2n5mmvfq4afgefl58f2k,0.000001,0.008446
osmo19an82zfx26aqtm9l89l575vaktrr9cpzqutenv,0.000001,0.008446
osmo1ndfr5g0dczkfddrudwre0zshne8j4eawmlyh6u,0.000001,0.008446
osmo1z0kzf542dl5zg974hgxlclya049qam7yr9c5y9,0.000001,0.008446
osmo1u8j6va0eck76smprncfr35mywn5r6r0emgucpq,0.000001,0.008446
osmo16yalchwhmmnahrdvde7g7e484yzdgz9w6g7fq6,0.000001,0.008446
osmo1xka4hlysphfrs6z5ztjfhtjauw67qvjsjmm6t4,0.000001,0.008446
osmo1n424xzxynnhsd3647y4yfx0ra5csq53rvgel9r,0.000001,0.008446
osmo1aucsr5f6xj53trgg47uezw5vnfdylpahakazjy,0.000001,0.008446
osmo16p8mldmrya472t2p4rt59lr424u3dsjnfd7gpc,0.000001,0.008446
osmo1h4ptghvzmnvrgpwvlpe0gwd9hd3k2mxxykcga3,0.000001,0.008446
osmo14zwe54m84zgljuz4re0gtkc8hsr8md5r6eks0k,0.000001,0.008446
osmo1mwrpuk32p93u97ealgjcuccfewzlyx9m469hth,0.000001,0.008446
osmo1mgn326c56evcmztsrnqc855qk0qlsawryzyhf8,0.000001,0.008446
osmo1c3g5qdu9a3s4mwfqr6aqfkrd0hmvm2xmrv0neg,0.000001,0.008446
osmo152cx9dgzyns5mlduk54p6jsc0lxgwsedy0vg24,0.000001,0.008446
osmo1q4vtwk2z8nv7qsqvu7h83m593wfx0zugyfu9pd,0.000001,0.008446
osmo1z8wnmyss842zjjxxr2c6tz3r697qfhrzucwt4k,0.000001,0.008446
osmo136cdqrcydlw5vk2wcevmmvtm3n9uwy65rx9hxw,0.000001,0.008446
osmo1kjw432r5j9xaem53d4zv6e5mhz76485gc8z2uj,0.000001,0.008446
osmo1ud7le6jmtjv8a5sweae7zluu7cpzx068m2c9mf,0.000001,0.008446
osmo1m6kw6mzp3k387eed8p56h2naxadgy9cmfdyv65,0.000001,0.008446
osmo1l08jswh9n0rt22acr7u4nj0fl06pyzxux6tkp7,0.000001,0.008446
osmo1epk3utn6pavakcp70am7d3g5drnsstvkjes24v,0.000001,0.008446
osmo17h838894508g6qnappjh7yxns0lp5nvtmfqqja,0.000001,0.008446
osmo1wdf3nl2e4m7awza7cyy6ugcfkjvy2ftjev7m4d,0.000001,0.008446
osmo14p9478muwft4m3k7qd87yl62df5kp5dckgflrm,0.000001,0.008446
osmo120l3zwgnmz860kf2axq93ae6a2m655rklyu6ar,0.000001,0.008446
osmo1ld72hya9ux6uck0c0aacv93pcasshmcs9szycc,0.000001,0.008446
osmo1f9mhzcl0evxgqaapku8czjxre0ejurl97lcud8,0.000001,0.008446
osmo120zmaut6h2yuzlplyhxkavcvh2xlc3p44jfz5f,0.000001,0.008446
osmo1t9x8vsy965xnesaha0fv8xlwcc960gcn2ye9jy,0.000001,0.008446
osmo14qxnas9rh43gg4grleaf677algnmhan4ue6rkf,0.000001,0.008446
osmo1a5gxq8y4e9g6ut907x9zy2taqya448n07l53jn,0.000001,0.008446
osmo1fe7vep2435w9u648536j9pp9x9fhjxdjwqcffj,0.000001,0.008446
osmo1vln0049wzj46pgc7xw54400589p3eg07mq9s86,0.000001,0.008446
osmo1mgptn97fzefmxf7cy5qemc6f9r02a2ygtzwgnp,0.000001,0.008446
osmo1zwt0uv3jgzn0648pt9uvap9hq32klsw2rjyh7e,0.000001,0.008446
osmo1pcpma6wwawurtfeuc7x8n0uwag6u9g742kv7sv,0.000001,0.008446
osmo1slswp702080qupeng80kun823p7dutuqn53vhr,0.000001,0.008446
osmo1xjpqtgvnfnreu85mzky0d0ypr7e0uvzajn8nf6,0.000001,0.008446
osmo1k2krp4tq7enetsr5g2y2zdxr4cuzlrxtqs47hd,0.000001,0.008446
osmo1k76nefkx87d6pl2m6j6d4suq70zkn824u2t8pf,0.000001,0.008446
osmo1rldr8702gj0uw0znnxnkgd3uct6q8v0wpknecx,0.000001,0.008446
osmo12cvqrn5sg5fv3e2awf0e89c5jvgg37cdllv6lz,0.000001,0.008446
osmo19k5a0fpgn8un8j0yn8at77psl7wm5xwf3a7syz,0.000001,0.008446
osmo1h64ma72rxs8vf8am7hxrg4g7vcxvulh0l2nm62,0.000001,0.008446
osmo14zwnjrnczrd2g5gm6dhkjsmvwluxn6m0st78wr,0.000001,0.008446
osmo10hd7lk3ywmetl4z77v8rr3gqcq3ua84pe5mjhk,0.000001,0.008446
osmo1t4schq76t95dmzy2evtllsje0fxgnp2558prem,0.000001,0.008446
osmo1w7rzzuscqcry4cpasu3nm0a766k2alvew6vqte,0.000001,0.008446
