Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo1hx3sqj9sglcp672jaz6un787q8a48263ztje6g,21,177376.056032
osmo1qhkzptmhwt78jpzx34hpljz6megz0gtjr6tn0j,21,177376.056032
osmo17mrgrpdyt2e5a35zr3ej0474s2j8824csawts7,20.84277,176048.016161
osmo1c0k6p340st8egc7jcfndfm4jmly4na6ceq2f3u,20,168929.577174
osmo13t0fv740cd8cm0uhuhndh8zuygfw6433hu4ydm,20,168724.825909
osmo1fkwnrnmqzgnr8vvjw7eudv6j4ggvft6tw3kxph,20,167992.742226
osmo1fguqukw4l6hyzsz57x9hgm7fesxk78gclcmrlp,18.774914,158581.914175
osmo12fpqm0xw7jnzc0su50halhflpfekp7q7m6dd3t,17,143590.140598
osmo14rmdxftvvqas547azl8tr2s9unynmjarrfaugz,16.643661,140580.330768
osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,15.999511,135139.531411
osmo186lrv2tqryt2yh2l50t5yh2qjm27c4u6ha0npu,15,126697.182880
osmo12e90zyj0fa6cmdyt2puq2tpfjsjt04cnfclxp0,15,126697.182880
osmo1hpmjldp65qrazsk78603p2q0c3jr2eerns2zal,15,126697.182880
osmo12uk22nzee0hgahzttujcdce78ax627as04tcas,14.609942,123402.566230
osmo1evxs90fjwxlpy4nacxzshpevvyjma32vymhrep,14,118250.704022
osmo1a6xqmycpm2syw5em9q8e5d0gs46tljmmlsc746,13.529457,114276.272520
osmo1zg453l326xgrk5nm2prru4teqkym8zc9pe5r0z,13.528933,114271.846565
osmo1qj0nkrag3axevds72lpthweux53u8z2ke3ntp0,13.5,114027.464592
osmo1a97pdeucuzque0gheq4arz2977hk8q44qrrpxa,13.188607,111397.290201
osmo1cyu8ct822xqv2jr53h6s6wsakmn8u2sfzpe36j,13.173078,111266.124831
osmo1j29q4d87h33fq5umhctnj23lhsegvnfp6hz2rf,12.6,106425.633619
osmo1qlljvx0ggg0qmg3ffz4f3hd0tsd259n46k9mjk,12.31853,104048.203215
osmo1xwkz3u2rxwajec8q7np392fu3zrlvt82wvf9cu,12,101357.746304
osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2,10.978476,92729.465435
osmo19xa058q8h79x2ws22hjtawuer0kjzj88hhk23u,10.53822,89010.852438
osmo174y230y2dm36t0ta5me32yhyy3npnslxmzmwpr,10.208454,86225.490891
osmo1yhyczhqtngnprr6f0wh3tw778060jfxvmrnqd4,10.128731,85552.112257
osmo15a434j55nj6mejw4syflw8q20nyz9epauggcv5,10,84464.788587
osmo1kz22980et2kqkhek3gxywgqdpmgz5xvyqxv8rs,10,84464.788587
osmo19k3l0z5txzv2w3kr28lhs49dfd65sv6324dlll,10,84464.788587
osmo1wsc62azzkuxl42au9et5x8j27mcfxm8vd0tsnm,10,84464.788587
osmo1zmvwqfasrcrtg2ud8mp5lg40pte04w3qzc27vw,9.462036,79920.887034
osmo154qggy89597vszvypep78ws0t6n284wegyh4sw,9.350174,78976.047016
osmo1cfut96cqywn2z92uegp3yq6at94f6ay4ppvmhh,9,76018.309728
osmo1gtzazqzhg3sczpwtft23x4r46d4zlxnfkg23rt,8.90664,75229.746462
osmo1p0xc8vz6m72velt8xera2quz3xs9ee6c3hullp,8.877335,74982.222399
osmo15sz727cdzsgepw2aqc5slq0qj43ladjuf49282,8,67571.830869
osmo1z9z23s5658sz3939x2wu7gztqp32u63gm7q3nw,7.4,62503.943554
osmo14cerj3vkfl7leynpl0784mxdt2707r0wa4upd8,7,59125.352011
osmo142cl70a6rsp56x7myfz67g7m0f5x84w5kwxkgn,7,59125.352011
osmo19xma25ppv8ugwtvzpx5n5mde67ngazy4l2qsda,7,59125.352011
osmo1gxr53f9jx5cxn3dmkzr2eq93g05yey30lmlwel,7,59125.352011
osmo12ysnawwxejaqu9rz7a4vpp7pmghqvmcy2zhx4u,7,59125.352011
osmo1nyw4lyw0qk6yccs9z58mhw8mu5tuxtu3tat0dc,7,59125.352011
osmo19e3lcuv452a99pthwapm56uqgj4jwc87gemunr,6.48,54733.183004
osmo1neqprx4sd0xrs4snn2q9ccchg6ksva3pntz45u,6.434456,54348.496571
osmo1ux8zlvpsvmvnnrqxm0an2kff2rr7950chv93qp,6.21952,52533.044191
osmo1czw8kd733420g0wpgt7kptprd2ql9dwzy8hrvx,6,50678.873152
osmo1rwytctrqqaq08mdd4c7v57sqah44guxvnp0drc,6,50678.873152
osmo1smqr5tp684g07aekcn0w852wqlme5mn6xnhsvy,5.874365,49617.699781
osmo1f7m8wflhlsum22jlkvp75tg20k049dvcac5py5,5.55,46877.957666
osmo1asj5ltf9xdzsc9fr7ehykhcmsaz0xzeqlws59l,5.52,46624.563300
osmo1yfgvyv3jxact4l6vkdfs0kdtsfvkd0chmyfeku,5.398439,45597.800883
osmo159jhu8k27jt6gqha2kgpydu5ppe7h3cn86wktr,5.05922,42732.594771
osmo1ch20ap73dqudanw0ufhpn2jpvl6zayqe4r0jy6,5,42232.394293
osmo194jxs9jvar80wtavkan5eppwve2jh4vmnch6u2,5,42232.394293
osmo1zwtv7pplzh7m3t4m2zel8c0q78qsyptvessc85,5,42232.394293
osmo1x6a46r4lkhg025hhvyfedqgf4288ygn4ldnltu,4.979726,42061.150381
osmo127hgjjrst9mngejd4l4wprnnppwl6e22juz3aj,4.93,41641.140773
osmo1z4lqen77tmpnw37uq8xx3c2mp80nrr2uacqeng,4.65482,39316.838721
osmo1nsempd9ljljetpecuyc8m6agh0up8e43w9t9wu,4.64,39191.661904
osmo1wkclqpz9ruuyq9esdw8l20k60d2qg3hjsqahmt,4.536369,38316.344854
osmo10vhzusepnuyljct4xsg77wfat0urhefakwfu4l,4.5,38009.154864
osmo1hsqvty7tf7ry0n64p08aycn8cmx5ghsegzhk7x,3.903486,32970.711974
osmo1reeycz4d4pu4fddzqafzsyh6vvjp3nflwny5wy,3.926608,30947.285558
osmo1760d9jkledghjckd65gemglkv8cpq732ekf73t,3.5,29562.676005
osmo1emqzfcz5hezpg3z6ueqkptadpyx5qfujqpn4g9,3.5,29562.676005
osmo1fzgrznluvwcze0ahg6a4hj8un855d5lx67sky8,3.5,29562.676005
osmo1z3p5gkh62r0nhfu69w2l9064chkw52yep3nurq,3.4,28718.028120
osmo193ha3qhg0upx89vqzhknd3ra075r37xvkln5qe,3.3,27873.380234
osmo1045czr9qxsq66eknz88ratcynkvxxgsggp2rwz,3.3,27873.380234
osmo12ugtc842ghfrvfax7c2umw5al5m5g3fdr88wfm,3.2,27028.732348
osmo1m0thfsvruzcpr37vefrv8lql5t87dl5n0qdmga,3.07,25930.690096
osmo1qk4quvwtxyg5mnn7kp8dktxpm76cxyh2mpsglm,3,25339.436576
osmo1akhswynqs07zj5p2k25r6s4ur45qyjnre5amzh,3,25339.436576
osmo1nf3f77wnp425q8j2xq48u8at8ltv62k6l26ds9,3,25339.436576
osmo1pluvppw3973qkk5rt8w0mmdsqx03hy6xl84etm,3,25339.436576
osmo1krhqzttr824dm3zus8fvy79sefxe78k90mptht,2.949441,24912.391051
osmo1tkgyd0c0pjdxcu6f7z4h8g65whvdcsqhrs29p3,2.5,21116.197147
osmo1qyfhmkmphr9vsfjgrgvch65vklec3k5yyt69ru,2.5,21116.197147
osmo10z6mwcv78kmnj4lm74ce3zydrqwuh5qhhlyl6s,2.5,20529.071959
osmo1ug54mpujhgp588fyyywes74gm8p4wjgsrrarph,2.3,19426.901375
osmo1vqurd5tsn293d3j55dxynknrd73cc7p2py0l03,2.222,18768.076024
osmo1xdea5jw76hhqmpy9gkllk534gn46aq6hefh6ze,2.08,17568.676026
osmo1v9w49rtdpkwxeje8xnx9pnf9z9hyr2e0yy8wvz,2,16892.957717
osmo16ah99tpsgg4dlnl9glwzlmd5cfsl50evyh5jf7,2,16892.957717
osmo1qm9gkn8xrs87z57z4reevevjy4qztkdtnv2y0j,2,16892.957717
